id,name
1,Comedy
2,Drama
3,Music
4,Musical
5,Romance
6,Crime
7,Thriller
8, Adventure
9,Sci-Fi
10,Animation
11,Adventure
12,Family
13,Fantasy
14,Mystery
15,Biography
16,History
17,War
18, Action
19,Western
